Rank,Time,Name,Country,Date of Birth,Place,City,Date,Gender,Event
1836,60:53,Reuben Lemaa,KEN,87,3,Verbania,10.03.2013,Men,Half-marathon
1836,60:53,Luka Rotich,KEN,07.08.88,5,Yangzhou,21.04.2013,Men,Half-marathon
1836,60:53,Amos Mitei,KEN,24.06.94,4,Luanda,07.09.2014,Men,Half-marathon
1836,60:53,Vincent Chepkok,KEN,05.07.88,2,Porto,14.09.2014,Men,Half-marathon
1836,60:53,Shadrack Korir,KEN,10.02.96,1,Cardiff,02.10.2016,Men,Half-marathon
1836,60:53,Dominic Kiptarus,KEN,03.08.96,6,Lille,02.09.2017,Men,Half-marathon
1836,60:53,Amanuel Mesel,ERI,29.12.90,6,Valencia,22.10.2017,Men,Half-marathon
1836,60:53,Birhan Nebebew,ETH,14.08.94,10,Lisboa,11.03.2018,Men,Half-marathon
1836,60:53,Eyob Ghebrehiwet Faniel,ITA,26.11.92,2,Padova,28.04.2019,Men,Half-marathon
1836,60:53,Timothy Toroitich,UGA,10.10.91,2,Lisboa,20.10.2019,Men,Half-marathon
1836,60:53,William Wanjiku,KEN,07.05.95,11,Valencia,27.10.2019,Men,Half-marathon
1836,60:53,Patrick Mwaka,KEN,02.11.92,4,Yamaguchi,09.02.2020,Men,Half-marathon
1836,60:53,Eyob Ghebrehiwet Faniel,ITA,26.11.92,26,Gdynia,17.10.2020,Men,Half-marathon
1836,60:53,Geoffrey Koech,KEN,28.08.93,11,Valencia,06.12.2020,Men,Half-marathon
1836,60:53,Aron Kifle,ERI,20.02.98,4,Madrid,17.10.2021,Men,Half-marathon
1836,60:53,Shadrack Kimining,KEN,10.02.96,5,Houston,16.01.2022,Men,Half-marathon
1836,60:53,Brian Kiptoo,KEN,15.04.00,1,Den Haag,12.03.2023,Men,Half-marathon
1836,60:53,Benard Biwott,KEN,26.05.02,9,Lisboa,12.03.2023,Men,Half-marathon
1869,60:54,Ronaldo da Costa,BRA,07.06.70,3,Oslo,24.09.1994,Men,Half-marathon
1869,60:54,David Kiptum Businei,KEN,22.12.74,1,Belfort,04.10.1998,Men,Half-marathon
1869,60:54,John Thuo,KEN,27.11.85,1,Lille,03.09.2005,Men,Half-marathon
1869,60:54,Denis Ndiso Musembi,KEN,31.12.83,1,Nice,20.04.2008,Men,Half-marathon
1869,60:54,Sammy Kirop Kitwara,KEN,26.11.86,1,Rabat,20.04.2008,Men,Half-marathon
1869,60:54,Edwin Kipyego,KEN,16.11.90,8,Ra's Al Khaymah,15.02.2013,Men,Half-marathon
1869,60:54,Martin Irungu Mathathi,KEN,25.12.85,2,Gifu,19.05.2013,Men,Half-marathon
1869,60:54,Azmeraw Mengistu,ETH,15.09.92,7,Den Haag,08.03.2015,Men,Half-marathon
1869,60:54,Keijiro Mogi,JPN,21.10.95,3,Marugame,07.02.2016,Men,Half-marathon
1869,60:54,Meschak Koech,TAN,27.07.89,2,Barcelona,12.02.2017,Men,Half-marathon
1869,60:54,Thomas Kiplagat,KEN,01.03.87,4,Porto,17.09.2017,Men,Half-marathon
1869,60:54,Betesfa Getahun,ETH,25.09.98,6,Valencia,24.03.2018,Men,Half-marathon
1869,60:54,Shin Kimura,JPN,08.10.88,5,Yamaguchi,09.02.2020,Men,Half-marathon
1882,60:55,Mark Curp,USA,05.01.59,1,Philadelphia,15.09.1985,Men,Half-marathon
1882,60:55,Lameck Aguta,KEN,10.10.71,4,Newcastle-South Shields,20.09.1992,Men,Half-marathon
1882,60:55,Masatoshi Ibata,JPN,20.08.72,4,Tokyo,22.01.1995,Men,Half-marathon
1882,60:55,Gert Thys,RSA,12.11.71,10,Lisboa,15.03.1998,Men,Half-marathon
1882,60:55,Ibrahim Seïd,ETH,65,2,Belfort,04.10.1998,Men,Half-marathon
1882,60:55,John Stephen Rogarth,TAN,26.04.84,11,Lisboa,28.03.2004,Men,Half-marathon
1882,60:55,Philemon Kisang,KEN,09.06.82,1,Milano,01.04.2007,Men,Half-marathon
1882,60:55,Josphat Jepkopol Kamzee,KEN,11.02.84,4,Berlin,28.03.2010,Men,Half-marathon
1882,60:55,Peter Muriuki,KEN,83,3,Ivry to Vitry-sur-Seine,03.04.2011,Men,Half-marathon
1882,60:55,Samuel Ndungu,KEN,04.04.88,1,Marugame,06.12.2011,Men,Half-marathon
1882,60:55,Jacob Wanjuki,KEN,16.01.86,3,Gifu,19.05.2013,Men,Half-marathon
1882,60:55,Azmeraw Bekele,ETH,22.01.86,4,Paris,02.03.2014,Men,Half-marathon
1882,60:55,Evans Barkokwet,KEN,05.03.88,7,Praha,05.04.2014,Men,Half-marathon
1882,60:55,Richard Mengich,KEN,03.04.89,2,Göteborg,17.05.2014,Men,Half-marathon
1882,60:55,Moses Too,KEN,82,1,Istanbul,07.09.2014,Men,Half-marathon
1882,60:55,William Kibor,KEN,10.01.85,7,Roma-Ostia Lido,01.03.2015,Men,Half-marathon
1882,60:55,Elijah Tirop,KEN,01.01.92,2,Nice,26.04.2015,Men,Half-marathon
1882,60:55,Stephen Sambu,KEN,07.07.88,4,New York City,19.03.2017,Men,Half-marathon
1882,60:55,Justus Kangogo,KEN,10.10.95,7,Valencia,22.10.2017,Men,Half-marathon
1882,60:55,Taye Girma,ETH,19.01.96,1,Boulogne-Billancourt,18.11.2018,Men,Half-marathon
1882,60:55,Yusuke Nishiyama,JPN,07.11.94,6,Yamaguchi,09.02.2020,Men,Half-marathon
1882,60:55,Conner Mantz,USA,08.12.96,1,Hardeeville,05.12.2021,Men,Half-marathon
1882,60:55,Patrick Tiernan,AUS,11.09.94,6,Houston,16.01.2022,Men,Half-marathon
1882,60:55,Moses Koech,KEN,07.08.97,2,Den Haag,12.03.2023,Men,Half-marathon
1882,60:55,Senay Fissehatsion,ERI,10.12.95,11,København,17.09.2023,Men,Half-marathon
1907,60:56,Xolile Yawa,RSA,29.09.62,3,East London,25.07.1987,Men,Half-marathon
1907,60:56,Stefano Baldini,ITA,25.05.71,1,Roma-Ostia Lido,23.02.1997,Men,Half-marathon
1907,60:56,Luis Jesús,POR,19.11.68,8,Kosice,04.10.1997,Men,Half-marathon
1907,60:56,Sammy Korir,KEN,12.12.71,11,Lisboa,15.03.1998,Men,Half-marathon
1907,60:56,Peter Chebet,KEN,24.06.76,7,Bristol,07.10.2001,Men,Half-marathon
1907,60:56,Paul Kangogo Kanda,KEN,12.12.74,1,Merano,28.04.2002,Men,Half-marathon
1907,60:56,Joseph Ngolebus,KEN,10.04.75,1,Den Haag,30.03.2003,Men,Half-marathon
1907,60:56,Martin Hhaway Sulle,TAN,28.12.82,3,Villamoura,04.10.2003,Men,Half-marathon
1907,60:56,Yusuf Songoka,KEN,05.02.79,1,Azpeitia,28.03.2004,Men,Half-marathon
1907,60:56,Rodgers Rop,KEN,16.02.76,4,Rotterdam,11.09.2005,Men,Half-marathon
1907,60:56,Silas Sang,KEN,21.08.78,1,Ciudad de Málaga,02.04.2006,Men,Half-marathon
1907,60:56,Cosmas Koech,KEN,09.10.85,3,Columbus,30.08.2009,Men,Half-marathon
1907,60:56,Daniel Chebii,KEN,28.05.85,3,Berlin,03.04.2011,Men,Half-marathon
1907,60:56,Emmanuel Bett,KEN,30.03.83,5,Newcastle-South Shields,16.09.2012,Men,Half-marathon
1907,60:56,Collis Birmingham,AUS,27.12.84,1,Marugame,03.02.2013,Men,Half-marathon
1907,60:56,Ezekiel Chebii,KEN,03.01.91,3,Den Haag,09.03.2014,Men,Half-marathon
1907,60:56,Thomas Lokomwa,KEN,26.12.87,2,Klagenfurt,24.08.2014,Men,Half-marathon
1907,60:56,Festus Talam,KEN,20.10.94,2,Verbania,19.04.2015,Men,Half-marathon
1907,60:56,Daniel Salel,KEN,11.12.90,1,Boston,11.10.2015,Men,Half-marathon
1907,60:56,Simon Cheprot,KEN,02.07.93,4,Valencia,18.10.2015,Men,Half-marathon
1907,60:56,Thomas Lokomwa,KEN,26.12.87,1,Piacenza,08.05.2016,Men,Half-marathon
1907,60:56,Mosinet Geremew,ETH,12.02.92,1,Yangzhou,23.04.2017,Men,Half-marathon
1907,60:56,Leonard Langat,KEN,07.08.90,2,Yangzhou,23.04.2017,Men,Half-marathon
1907,60:56,Kipkemoi Kiprono,KEN,12.09.95,11,Lisboa,11.03.2018,Men,Half-marathon
1907,60:56,Joshua Belet,KEN,10.02.98,3,Padova,28.04.2019,Men,Half-marathon
1907,60:56,Thomas Ayeko,UGA,10.02.92,3,Lisboa,20.10.2019,Men,Half-marathon
1907,60:56,Hosea Chirchir,KEN,84,4,Santa Pola,19.01.2020,Men,Half-marathon
1907,60:56,Jyun Nobuto,JPN,24.12.91,7,Yamaguchi,09.02.2020,Men,Half-marathon
1907,60:56,Solomon Koech,KEN,97,2,Verona,16.02.2020,Men,Half-marathon
1907,60:56,Titus Kimutai,KEN,08.11.98,2,Göteborg,21.05.2022,Men,Half-marathon
1907,60:56,Kiros Ashenafi,ETH,13.10.97,4,Zwolle,11.06.2022,Men,Half-marathon
1907,60:56,Djamal Abdi Dirieh,DJI,97,3,Gent,12.03.2023,Men,Half-marathon
1907,60:56,Abraham Kasongor,KEN,10.12.93,1,Warszawa,26.03.2023,Men,Half-marathon
1907,60:56,Ashagre Tesema,ETH,93,3,Madrid,26.03.2023,Men,Half-marathon
1907,60:56,Elroy Gelant,RSA,25.08.86,13,Riga,01.10.2023,Men,Half-marathon
1942,60:57,Michael Musyoki,KEN,28.05.56,2,Philadelphia,15.09.1985,Men,Half-marathon
1942,60:57,Jonah Koech,KEN,02.02.68,1,Gargnano,29.09.1996,Men,Half-marathon
1942,60:57,Rodgers Rop,KEN,16.02.76,3,Berlin,01.04.2001,Men,Half-marathon
1942,60:57,John Yuda,TAN,09.06.79,3,Bruxelles,05.05.2002,Men,Half-marathon
1942,60:57,Benson Barus,KEN,04.07.80,4,Berlin,02.04.2006,Men,Half-marathon
1942,60:57,Matthew Koech,KEN,01.01.83,8,Ra's Al Khaymah,09.02.2007,Men,Half-marathon
1942,60:57,Nicholas Kiprono,UGA,07.11.87,17,Udine,14.10.2007,Men,Half-marathon
1942,60:57,Robert Kipchumba,KEN,24.02.84,2,Nice,20.04.2008,Men,Half-marathon
1942,60:57,Martin Fagan,IRL,26.06.83,5,Den Haag,14.03.2009,Men,Half-marathon
1942,60:57,Jairus Chanchaima,KEN,05.12.84,6,Lille,04.09.2010,Men,Half-marathon
1942,60:57,Philemon Limo,KEN,02.08.85,1,Ústí nad Labem,18.09.2011,Men,Half-marathon
1942,60:57,Reuben Lemaa,KEN,87,3,Paris,04.03.2012,Men,Half-marathon
1942,60:57,Dathan Ritzenhein,USA,30.12.82,3,Philadelphia,16.09.2012,Men,Half-marathon
1942,60:57,Philip Kimutai,KEN,10.09.83,6,Roma-Ostia Lido,02.03.2014,Men,Half-marathon
1942,60:57,Tesfaye Abera,ETH,09.10.89,7,Yangzhou,20.04.2014,Men,Half-marathon
1942,60:57,Paul Lonyangata,KEN,12.12.92,5,Luanda,07.09.2014,Men,Half-marathon
1942,60:57,Masato Kikuchi,JPN,18.09.90,7,Marugame,01.02.2015,Men,Half-marathon
1942,60:57,Kennedy Kipyego,KEN,15.12.91,3,Sarnen,06.09.2015,Men,Half-marathon
1942,60:57,Paul Kipkorir Kipkemoi,KEN,31.05.82,2,Adana,03.01.2016,Men,Half-marathon
1942,60:57,Philip Kangogo,KEN,89,4,Roma-Ostia Lido,12.03.2017,Men,Half-marathon
1942,60:57,Kenta Murayama,JPN,23.02.93,5,New York City,19.03.2017,Men,Half-marathon
1942,60:57,Alexander Mutiso,KEN,10.09.96,1,Gifu,23.04.2017,Men,Half-marathon
1942,60:57,Joseph Macharia Ndirangu,KEN,09.09.94,2,Gifu,23.04.2017,Men,Half-marathon
1942,60:57,Abraham Cheroben,BRN,10.11.92,3,Yangzhou,23.04.2017,Men,Half-marathon
1942,60:57,Wilson Too,KEN,14.03.91,1,Belfort,24.09.2017,Men,Half-marathon
1942,60:57,Shadrack Kimining,KEN,10.02.96,13,Ra's Al Khaymah,08.02.2018,Men,Half-marathon
1942,60:57,Edwin Koech,KEN,14.12.87,12,Lisboa,11.03.2018,Men,Half-marathon
1942,60:57,Abel Kipchumba,KEN,03.02.94,3,Olomouc,23.06.2018,Men,Half-marathon
1942,60:57,Betesfa Getahun,ETH,25.09.98,14,Lisboa,17.03.2019,Men,Half-marathon
1942,60:57,Bethwel Yegon,KEN,05.01.93,3,Venlo,30.03.2019,Men,Half-marathon
1942,60:57,Ezrah Kipketer,KEN,20.08.97,7,Marugame,02.02.2020,Men,Half-marathon
1942,60:57,Kelvin Kiptum,KEN,02.12.99,8,Marugame,02.02.2020,Men,Half-marathon
1942,60:57,Takahiro Nakamura,JPN,24.08.83,8,Yamaguchi,09.02.2020,Men,Half-marathon
1942,60:57,Bernard Sang,KEN,15.02.81,8,Istanbul,04.04.2021,Men,Half-marathon
1942,60:57,Fabiano Sulle,TAN,01.10.94,12,Lisboa,21.11.2021,Men,Half-marathon
1942,60:57,Philemon Kiplimo,KEN,10.10.98,6,Berlin,01.04.2023,Men,Half-marathon
1942,60:57,Hillary Kipkoech,KEN,20.12.98,12,København,17.09.2023,Men,Half-marathon
1942,60:57,Kenenisa Bekele,ETH,13.06.82,11,Valencia,03.12.2023,Men,Half-marathon
1980,60:58,Lawrence Peu,RSA,13.02.66,1,East London,18.05.1991,Men,Half-marathon
1980,60:58,Philip Rugut,KEN,18.05.77,1,Trieste,03.05.1998,Men,Half-marathon
1980,60:58,Larbi Zéroual,FRA,10.01.71,2,Lille,04.09.1999,Men,Half-marathon
1980,60:58,Yusuf Songoka,KEN,05.02.79,2,Den Haag,30.03.2003,Men,Half-marathon
1980,60:58,Martin Hhaway Sulle,TAN,28.12.82,1,Ivry to Vitry-sur-Seine,23.04.2006,Men,Half-marathon
1980,60:58,Robert Kipkoech Cheruiyot,KEN,26.09.78,3,New York City,05.08.2007,Men,Half-marathon
1980,60:58,Kenneth Kiplimo Kimutai,KEN,10.12.81,7,New Delhi,09.11.2008,Men,Half-marathon
1980,60:58,Mekubo Mogusu,KEN,25.12.86,2,Sapporo,05.07.2009,Men,Half-marathon
1980,60:58,Tsuyoshi Ugachi,JPN,27.04.87,2,Marugame,06.12.2011,Men,Half-marathon
1980,60:58,Philemon Rono,KEN,08.02.91,1,Paderborn,07.04.2012,Men,Half-marathon
1980,60:58,Mamo Ketema Behailu,ETH,19.03.94,5,Paris,02.03.2014,Men,Half-marathon
1980,60:58,Titus Masai,KEN,09.10.89,8,Yangzhou,20.04.2014,Men,Half-marathon
1980,60:58,Abera Kuma,ETH,31.08.90,3,Klagenfurt,24.08.2014,Men,Half-marathon
1980,60:58,Azmeraw Bekele,ETH,22.01.86,2,Ústí nad Labem,14.09.2014,Men,Half-marathon
1980,60:58,Emmanuel Ngatuny,KEN,10.10.92,8,Berlin,29.03.2015,Men,Half-marathon
1980,60:58,Mathew Kisorio,KEN,16.05.89,10,Yangzhou,19.04.2015,Men,Half-marathon
1980,60:58,Merhawi Kesete,ERI,01.01.86,1,Ústí nad Labem,12.09.2015,Men,Half-marathon
1980,60:58,Joel Kimurer,KEN,21.01.88,7,København,13.09.2015,Men,Half-marathon
1980,60:58,Abrar Osman,ERI,01.01.94,7,Cardiff,26.03.2016,Men,Half-marathon
1980,60:58,Mathew Kisorio,KEN,16.05.89,10,Yangzhou,19.04.2016,Men,Half-marathon
1980,60:58,Peter Kirui,KEN,02.01.88,2,Marugame,05.02.2017,Men,Half-marathon
1980,60:58,Deme Tadu Abate,ETH,11.09.97,7,Lille,02.09.2017,Men,Half-marathon
1980,60:58,Amanuel Mesel,ERI,29.12.90,7,Valencia,24.03.2018,Men,Half-marathon
1980,60:58,Ali Kaya,TUR,20.04.94,6,Istanbul,07.04.2019,Men,Half-marathon
1980,60:58,Antenayeh Dagnachew,ETH,29.09.98,6,Belfort,29.09.2019,Men,Half-marathon
1980,60:58,Juan Antonio Pérez,ESP,06.11.88,12,Valencia,27.10.2019,Men,Half-marathon
1980,60:58,Ezrah Kipketer,KEN,20.08.97,13,Valencia,27.10.2019,Men,Half-marathon
1980,60:58,Edwin Cheruiyot Soi,KEN,03.03.86,14,Valencia,27.10.2019,Men,Half-marathon
1980,60:58,Masashi Nonaka,JPN,10.11.95,9,Yamaguchi,09.02.2020,Men,Half-marathon
1980,60:58,Florian Carvalho,FRA,09.03.89,27,Gdynia,17.10.2020,Men,Half-marathon
1980,60:58,Alex Kipchirchir,KEN,94,1,Göteborg,11.09.2021,Men,Half-marathon
1980,60:58,Carlos Mayo,ESP,18.09.95,17,Valencia,24.10.2021,Men,Half-marathon
1980,60:58,Josphat Ledama,KEN,28.06.98,6,Gifu,24.04.2022,Men,Half-marathon
1980,60:58,Kiros Ashenafi,ETH,13.10.97,2,Warszawa,26.03.2023,Men,Half-marathon
2014,60:59,Steve Jones,GBR,04.08.55,2,Newcastle-South Shields,08.06.1986,Men,Half-marathon
2014,60:59,Giuliano Battocletti,ITA,01.08.75,1,Parma,20.09.1998,Men,Half-marathon
2014,60:59,Luke Kibet,KEN,12.04.83,5,Rotterdam,11.09.2005,Men,Half-marathon
2014,60:59,Duncan Kipkemboi Kibet,KEN,25.04.78,2,Ivry to Vitry-sur-Seine,23.04.2006,Men,Half-marathon
2014,60:59,George Morara,KEN,79,3,Ivry to Vitry-sur-Seine,23.04.2006,Men,Half-marathon
2014,60:59,Cuthbert Nyasango,ZIM,17.09.82,1,Sevilla,17.12.2006,Men,Half-marathon
2014,60:59,Jonathan Kipkorir,KEN,29.12.82,2,Roma-Ostia Lido,25.02.2007,Men,Half-marathon
2014,60:59,Matthew Koech,KEN,01.01.83,6,Ra's Al Khaymah,08.02.2008,Men,Half-marathon
2014,60:59,Francis Kiprop,KEN,04.06.82,1,Klagenfurt,24.08.2008,Men,Half-marathon
2014,60:59,Elijah Keitany,KEN,18.10.83,1,Roma-Ostia Lido,01.03.2009,Men,Half-marathon
2014,60:59,Gebre-egziabher Gebremariam,ETH,10.09.84,4,Newcastle-South Shields,20.09.2009,Men,Half-marathon
2014,60:59,Kenneth Kiplimo Kimutai,KEN,10.12.81,6,Birmingham,11.10.2009,Men,Half-marathon
2014,60:59,Fred Kosgei,KEN,14.04.77,5,Berlin,28.03.2010,Men,Half-marathon
2014,60:59,Yirdawe Dejene,ETH,21.08.78,5,Milano,27.03.2011,Men,Half-marathon
2014,60:59,Nicholas Kamakya,KEN,02.03.85,4,Lille,03.09.2011,Men,Half-marathon
2014,60:59,Tilahun Regessa,ETH,18.01.90,8,New Delhi,27.11.2011,Men,Half-marathon
2014,60:59,Belay Assefa,ETH,17.06.92,1,Verbania,11.03.2012,Men,Half-marathon
2014,60:59,Jacob Wanjuki,KEN,16.01.86,2,Yamaguchi,18.03.2012,Men,Half-marathon
2014,60:59,Mohamed Farah,GBR,23.03.83,1,New Orleans,24.02.2013,Men,Half-marathon
2014,60:59,Daniel Gitau,KEN,01.10.87,1,Yamaguchi,16.02.2014,Men,Half-marathon
2014,60:59,Alex Oloitiptip,KEN,20.12.90,6,Luanda,07.09.2014,Men,Half-marathon
2014,60:59,Barselius Kipyego,KEN,23.07.93,2,Ústí nad Labem,12.09.2015,Men,Half-marathon
2014,60:59,Alexander Mutiso,KEN,10.09.96,1,Ichinoseki,18.09.2016,Men,Half-marathon
2014,60:59,Daniel Rotich,UGA,10.10.92,1,Porto,18.09.2016,Men,Half-marathon
2014,60:59,Atsedu Tsegay,ETH,17.12.91,3,Marugame,05.02.2017,Men,Half-marathon
2014,60:59,Joel Kimurer,KEN,21.01.88,2,Barcelona,12.02.2017,Men,Half-marathon
2014,60:59,Khalil Lemciyeh,MAR,10.12.86,17,Valencia,28.10.2018,Men,Half-marathon
2014,60:59,Moses Kibet,UGA,23.03.91,6,Praha,06.04.2019,Men,Half-marathon
2014,60:59,Daisuke Horiai,JPN,18.12.96,10,Yamaguchi,09.02.2020,Men,Half-marathon
2014,60:59,Ben Connor,GBR,17.10.92,3,Larne,12.09.2020,Men,Half-marathon
2014,60:59,Samuel Chelanga,USA,23.02.85,2,Hardeeville,05.12.2021,Men,Half-marathon
2014,60:59,Yohei Ikeda,JPN,22.06.98,14,Yamaguchi,13.02.2022,Men,Half-marathon
2014,60:59,Kota Murayama,JPN,23.02.93,15,Yamaguchi,13.02.2022,Men,Half-marathon
2014,60:59,Gerba Beyata,ETH,14.10.00,19,København,18.09.2022,Men,Half-marathon
2014,60:59,Amanal Petros,GER,17.05.95,8,Ra's Al Khaymah,18.02.2023,Men,Half-marathon
2014,60:59,Zerei Kbrom Mezngi,NOR,12.01.86,13,København,17.09.2023,Men,Half-marathon
2051,61:00,John Treacy,IRL,04.06.57,1,Newcastle-South Shields,24.07.1988,Men,Half-marathon
2051,61:00,John Gwako,KEN,04.09.78,2,Remich-Grevenmacher,28.09.1997,Men,Half-marathon
2051,61:00,Lee Troop,AUS,22.03.73,2,Tokyo,15.01.1999,Men,Half-marathon
2051,61:00,Isaac Chemobwo,KEN,25.10.73,1,Den Haag,27.03.1999,Men,Half-marathon
2051,61:00,Mohammed Mourhit,BEL,10.10.70,1,Amsterdam,19.09.1999,Men,Half-marathon
2051,61:00,John Korir,KEN,15.12.75,7,Lisboa,24.03.2002,Men,Half-marathon
2051,61:00,Fabiano Joseph Naasi,TAN,24.12.85,4,Milano,10.04.2005,Men,Half-marathon
2051,61:00,Brahim Lahlafi,MAR,15.04.68,6,Paris,11.03.2007,Men,Half-marathon
2051,61:00,Patrick Ivuti,KEN,30.06.78,1,Praha,24.03.2007,Men,Half-marathon
2051,61:00,Francis Kibiwott,KEN,15.09.78,8,Rotterdam,09.09.2007,Men,Half-marathon
2051,61:00,Kenneth Kiplimo Kimutai,KEN,10.12.81,7,Ra's Al Khaymah,08.02.2008,Men,Half-marathon
2051,61:00,Joel Kimurer,KEN,21.01.88,4,Verbania,07.03.2009,Men,Half-marathon
2051,61:00,Nicholas Kamakya,KEN,02.03.85,5,Verbania,07.03.2009,Men,Half-marathon
2051,61:00,Mebrahtom Keflezighi,USA,05.05.75,1,San José,01.11.2009,Men,Half-marathon
2051,61:00,Duncan Kipkemboi Kibet,KEN,25.04.78,9,Abu Dhabi,07.01.2010,Men,Half-marathon
2051,61:00,Robert Mbithi,KEN,26.06.89,8,Rotterdam,14.03.2010,Men,Half-marathon
2051,61:00,Kenneth Kiplimo Kimutai,KEN,10.12.81,3,Porto,10.10.2010,Men,Half-marathon
2051,61:00,Lucas Rotich,KEN,16.04.90,3,Lisboa,25.03.2012,Men,Half-marathon
2051,61:00,Christopher Thompson,GBR,17.04.81,6,Newcastle-South Shields,16.09.2012,Men,Half-marathon
2051,61:00,Gebre-egziabher Gebremariam,ETH,10.09.84,2,New Orleans,24.02.2013,Men,Half-marathon
2051,61:00,Ezekiel Chebii,KEN,03.01.91,5,Nice,21.04.2013,Men,Half-marathon
2051,61:00,Leul Gebrselassie,ETH,20.09.93,9,Yangzhou,20.04.2014,Men,Half-marathon
2051,61:00,Edwin Kiptoo,KEN,14.08.93,7,Ra's Al Khaymah,12.02.2016,Men,Half-marathon
2051,61:00,Cyprian Kotut,KEN,06.06.92,1,Paris,06.03.2016,Men,Half-marathon
2051,61:00,Simon Tesfay,ERI,15.03.85,2,Berlin,03.04.2016,Men,Half-marathon
2051,61:00,Abraham Cheroben,BRN,10.11.92,11,København,18.09.2016,Men,Half-marathon
2051,61:00,Japheth Korir,KEN,30.06.93,12,København,18.09.2016,Men,Half-marathon
2051,61:00,Abraham Kipyatich,KEN,10.05.93,4,Marugame,05.02.2017,Men,Half-marathon
2051,61:00,Geoffrey Koech,KEN,28.08.93,5,Praha,01.04.2017,Men,Half-marathon
2051,61:00,Eliud Kipchoge,KEN,05.11.84,1,London,22.04.2018,Men,Half-marathon
2051,61:00,Tola Shura,ETH,09.06.96,2,London,22.04.2018,Men,Half-marathon
2051,61:00,Bedan Karoki,KEN,21.08.90,3,London,22.04.2018,Men,Half-marathon
2051,61:00,Evans Kiprop Cheruiyot,KEN,10.05.82,4,Olomouc,23.06.2018,Men,Half-marathon
2051,61:00,Callum Hawkins,GBR,22.06.92,18,Valencia,28.10.2018,Men,Half-marathon
2051,61:00,Jorum Okombo,KEN,10.12.97,19,Valencia,28.10.2018,Men,Half-marathon
2051,61:00,Birhan Nebebew,ETH,14.08.94,11,Zallaq,15.03.2019,Men,Half-marathon
2051,61:00,William Wanjiku,KEN,07.05.95,1,Berlin,07.04.2019,Men,Half-marathon
2051,61:00,Benard Kimeli,KEN,10.09.95,7,Praha,05.09.2020,Men,Half-marathon
2051,61:00,Kenenisa Bekele,ETH,13.06.82,5,Berlin,26.09.2021,Men,Half-marathon
2051,61:00,Frank Lara,USA,25.09.95,18,Valencia,24.10.2021,Men,Half-marathon
2051,61:00,Abel Mutai,KEN,02.10.88,7,Lille,20.03.2022,Men,Half-marathon
2051,61:00,Huseyidin Mohamed,ETH,11.09.00,2,Lisboa,08.05.2022,Men,Half-marathon
2051,61:00,Alfred Ngeno,KEN,02.05.97,2,Larne,30.08.2022,Men,Half-marathon
2051,61:00,Shadrack Kimining,KEN,10.02.96,3,Larne,30.08.2022,Men,Half-marathon
2051,61:00,Ben Flanagan,CAN,11.01.95,18,Valencia,23.10.2022,Men,Half-marathon
2051,61:00,Musa Mitei,KEN,06.01.97,3,Warszawa,26.03.2023,Men,Half-marathon
2097,61:01,Godfrey Kiprotich,KEN,23.11.64,4,Oslo,24.09.1994,Men,Half-marathon
2097,61:01,Stefano Baldini,ITA,25.05.71,9,Kosice,04.10.1997,Men,Half-marathon
2097,61:01,Joshua Chelanga,KEN,07.04.73,8,Lisboa,24.03.2002,Men,Half-marathon
2097,61:01,Ridouane El Harroufli,MAR,30.07.81,1,Dar-el-Beida,19.10.2003,Men,Half-marathon
2097,61:01,Duncan Kipkemboi Kibet,KEN,25.04.78,1,Lille,06.09.2004,Men,Half-marathon
2097,61:01,Evans Kiprop Cheruiyot,KEN,10.05.82,1,Ivry to Vitry-sur-Seine,17.04.2005,Men,Half-marathon
2097,61:01,Enock Mitei,KEN,26.11.80,1,Ivry to Vitry-sur-Seine,01.04.2007,Men,Half-marathon
2097,61:01,Geoffrey Ndungu,KEN,11.03.84,1,Nairobi,17.01.2009,Men,Half-marathon
2097,61:01,Luka Kanda,KEN,01.01.87,4,Ivry to Vitry-sur-Seine,26.04.2009,Men,Half-marathon
2097,61:01,Nicholas Kiprono,KEN,07.11.87,3,Lisboa,04.10.2009,Men,Half-marathon
2097,61:01,Daniel Gitau,KEN,01.10.87,2,Marugame,05.02.2012,Men,Half-marathon
2097,61:01,Wilson Kipsang Kiprotich,KEN,15.03.82,3,Ra's Al Khaymah,17.02.2012,Men,Half-marathon
2097,61:01,Josphat Bett,KEN,12.06.90,4,Praha,31.03.2012,Men,Half-marathon
2097,61:01,John Mwangangi,KEN,01.11.90,3,Kavarna,06.10.2012,Men,Half-marathon
2097,61:01,Richard Mengich,KEN,03.04.89,4,Den Haag,09.03.2014,Men,Half-marathon
2097,61:01,Jonathan Maiyo,KEN,05.05.88,1,Zwolle,14.06.2014,Men,Half-marathon
2097,61:01,Edwin Rotich,KEN,08.08.88,3,Azpeitia,28.03.2015,Men,Half-marathon
2097,61:01,Elijah Tirop,KEN,01.01.92,1,Karlovy Vary,23.05.2015,Men,Half-marathon
2097,61:01,Cosmas Jairus Kipchoge,KEN,21.03.86,3,Olomouc,20.06.2015,Men,Half-marathon
2097,61:01,Emmanuel Bett,KEN,30.03.83,8,København,13.09.2015,Men,Half-marathon
2097,61:01,Alex Oloitiptip,KEN,20.12.90,1,Granollers,07.02.2016,Men,Half-marathon
2097,61:01,Vincent Yator,KEN,11.07.89,6,Istanbul,30.04.2017,Men,Half-marathon
